Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity,Number of Males,Number of Females,Average Age,Local Authority
58F1730,436147,434957,2,15/8/2019,18:12,Non - Primary Road,Dry,Daylight,Fine,Bus(17 or more passenger seats),Vehicle Passenger,Slight,2,5,25,E08000035
58F1730,436147,434957,2,15/8/2019,18:12,Non - Primary Road,Dry,Daylight,Fine,Bus(17 or more passenger seats),Vehicle Passenger,Slight,2,5,25,E08000035
58F1730,436147,434957,2,15/8/2019,18:12,Non - Primary Road,Dry,Daylight,Fine,Bus(17 or more passenger seats),Vehicle Passenger,Slight,2,5,25,E08000035
58F1730,436147,434957,2,15/8/2019,18:12,Non - Primary Road,Dry,Daylight,Fine,Bus(17 or more passenger seats),Vehicle Passenger,Slight,2,5,25,E08000035
58F1730,436147,434957,2,15/8/2019,18:12,Non - Primary Road,Dry,Daylight,Fine,Bus(17 or more passenger seats),Vehicle Passenger,Slight,2,5,25,E08000035
58F1730,436147,434957,2,15/8/2019,18:12,Non - Primary Road,Dry,Daylight,Fine,Bus(17 or more passenger seats),Vehicle Passenger,Slight,2,5,25,E08000035
58F1730,436147,434957,2,15/8/2019,18:12,Non - Primary Road,Dry,Daylight,Fine,Bus(17 or more passenger seats),Vehicle Passenger,Slight,2,5,25,E08000035
6111190,435904,425850,2,1/1/2019,10:07,Non - Primary Road,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,54,E08000035
6111674,423194,438111,1,1/1/2019,15:05,Unclassified,Dry,Daylight,Fine,Car,Pedestrian,Slight,0,1,3,E08000035
6111836,429149,431736,2,1/1/2019,16:40,Unclassified,Dry,Dark (lit street),Fine,Pedal Cycle,Driver/Rider,Serious,1,0,45,E08000035
6120357,428760,432723,2,2/1/2019,9:29,Non - Primary Road,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Serious,1,0,44,E08000035
6121501,431451,435823,1,2/1/2019,19:15,Unclassified,Dry,Dark (lit street),Fine,Car,Pedestrian,Slight,1,0,16,E08000035
6130451,427555,433891,2,3/1/2019,9:55,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,1,38,E08000035
6130492,420066,445481,2,3/1/2019,10:35,Unclassified,Dry,Daylight,Fine,Motorcycle(500cc or more),Driver/Rider,Serious,1,1,36,E08000035
6130492,420066,445481,2,3/1/2019,10:35,Unclassified,Dry,Daylight,Fine,Motorcycle(500cc or more),Vehicle Passenger,Slight,1,1,36,E08000035
6130581,427140,437363,3,3/1/2019,11:28,Non - Primary Road,Dry,Daylight,Fine,Van/Goods Vehicle(3.5 tonnes mgw or less),Driver/Rider,Slight,2,1,35,E08000035
6130581,427140,437363,3,3/1/2019,11:28,Non - Primary Road,Dry,Daylight,Fine,Van/Goods Vehicle(3.5 tonnes mgw or less),Vehicle Passenger,Slight,2,1,35,E08000035
6130581,427140,437363,3,3/1/2019,11:28,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,2,1,35,E08000035
6140252,430783,438603,2,4/1/2019,7:46,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,1,1,69,E08000035
6140252,430783,438603,2,4/1/2019,7:46,Unclassified,Dry,Daylight,Fine,Car,Vehicle Passenger,Slight,1,1,69,E08000035
6141399,420015,445436,2,4/1/2019,17:30,Non - Primary Road,Dry,Dark (lit street),Fine,Motorcycle(50cc-125cc),Driver/Rider,Serious,1,0,20,E08000035
6170679,432347,430836,2,7/1/2019,3:30,Unclassified,Dry,Dark (unknown lighting),Fine,Pedal Cycle,Driver/Rider,Slight,1,0,25,E08000035
6170725,422786,434721,1,7/1/2019,12:30,Road,Dry,Daylight,Fine,Car,Pedestrian,Slight,0,1,23,E08000035
6170834,434118,445048,2,7/1/2019,14:00,Unclassified,Wet/Damp,Daylight,High Winds,Car,Vehicle Passenger,Slight,0,1,53,E08000035
6171024,425491,432085,1,7/1/2019,15:20,Unclassified,Unknown,Daylight,Unknown,Taxi/Private car,Vehicle Passenger,Serious,0,1,28,E08000035
6171334,430549,432911,1,7/1/2019,17:48,Unclassified,Dry,Dark (lit street),Fine,Car,Pedestrian,Serious,0,1,21,E08000035
6180248,429558,431566,2,8/1/2019,7:54,Unclassified,Dry,Daylight,Fine,Pedal Cycle,Driver/Rider,Slight,1,0,32,E08000035
6180290,427216,444133,1,8/1/2019,8:30,Unclassified,Dry,Daylight,Fine,Car,Driver/Rider,Slight,0,1,58,E08000035
6180639,430787,433346,2,8/1/2019,12:00,Non - Primary Road,Dry,Daylight,Fine,Taxi/Private car,Driver/Rider,Slight,2,1,33,E08000035
6180639,430787,433346,2,8/1/2019,12:00,Non - Primary Road,Dry,Daylight,Fine,Taxi/Private car,Vehicle Passenger,Slight,2,1,33,E08000035
6180639,430787,433346,2,8/1/2019,12:00,Non - Primary Road,Dry,Daylight,Fine,Car,Driver/Rider,Slight,2,1,33,E08000035
6181012,430398,433300,2,8/1/2019,12:10,Unclassified,Dry,Daylight,Fine,Bus(17 or more passenger seats),Vehicle Passenger,Slight,0,1,79,E08000035
6181312,428128,432795,1,8/1/2019,17:20,Road,Dry,Dark (lit street),Fine,Car,Pedestrian,Slight,1,0,58,E08000035
